County,Province_State,Country_Region,n,Population
NA,NA,West Bank and Gaza,11,4685000
NA,NA,Vietnam,18,97338579
NA,NA,Venezuela,14,28435940
NA,NA,Uzbekistan,12,33469203
Chambers,Alabama,US,2,34215
Jefferson,Alabama,US,15,658466
Lee,Alabama,US,5,140247
Madison,Alabama,US,8,334811
Mobile,Alabama,US,6,412992
Shelby,Alabama,US,6,195085
NA,Alabama,US,1,4779736
Anchorage,Alaska,US,1,291826
Coconino,Arizona,US,8,134421
Maricopa,Arizona,US,17,3817117
Navajo,Arizona,US,8,107449
Pima,Arizona,US,13,980263
Pinal,Arizona,US,4,375770
NA,Arizona,US,1,6392017
Pulaski,Arkansas,US,9,382748
Unassigned,Arkansas,US,1,
NA,Arkansas,US,1,2915918
Alameda,California,US,17,1510271
Contra Costa,California,US,15,1049025
Fresno,California,US,4,930450
Kern,California,US,8,839631
Los Angeles,California,US,18,9818605
Marin,California,US,8,252409
Orange,California,US,17,3010232
Placer,California,US,4,348432
Riverside,California,US,14,2189641
Sacramento,California,US,15,1418788
San Bernardino,California,US,10,2035210
San Diego,California,US,18,3095313
San Francisco,California,US,18,805235
San Joaquin,California,US,11,685306
San Mateo,California,US,18,718451
Santa Barbara,California,US,7,423895
Santa Clara,California,US,18,1781642
Sonoma,California,US,5,483878
Tulare,California,US,4,442179
Unassigned,California,US,1,
Ventura,California,US,10,823318
NA,California,US,12,37253956
Adams,Colorado,US,11,441603
Arapahoe,Colorado,US,14,572003
Boulder,Colorado,US,9,294567
Denver,Colorado,US,18,600158
Douglas,Colorado,US,11,285465
Eagle,Colorado,US,15,52197
El Paso,Colorado,US,15,622263
Jefferson,Colorado,US,14,534543
Larimer,Colorado,US,7,299630
Unassigned,Colorado,US,14,
Weld,Colorado,US,14,252825
NA,Colorado,US,8,5029196
Fairfield,Connecticut,US,18,916829
Hartford,Connecticut,US,15,894014
Litchfield,Connecticut,US,10,189927
Middlesex,Connecticut,US,4,165676
New Haven,Connecticut,US,15,862477
Tolland,Connecticut,US,3,152691
Unassigned,Connecticut,US,9,
NA,Connecticut,US,3,3574097
Kent,Delaware,US,3,162310
New Castle,Delaware,US,13,538479
Sussex,Delaware,US,8,197145
District of Columbia,District of Columbia,US,19,601723
Alachua,Florida,US,6,247336
Brevard,Florida,US,1,543376
Broward,Florida,US,18,1748066
Collier,Florida,US,10,321520
Duval,Florida,US,12,864263
Escambia,Florida,US,7,297619
Hillsborough,Florida,US,15,1229226
Lake,Florida,US,4,297052
Lee,Florida,US,12,618754
Manatee,Florida,US,6,322833
Martin,Florida,US,1,146318
Miami-Dade,Florida,US,18,2496435
Orange,Florida,US,14,1145956
Osceola,Florida,US,9,268685
Palm Beach,Florida,US,16,1320134
Pasco,Florida,US,4,464697
Pinellas,Florida,US,11,916542
Polk,Florida,US,7,602095
Sarasota,Florida,US,7,379448
Seminole,Florida,US,9,422718
St. Johns,Florida,US,7,190039
St. Lucie,Florida,US,2,277789
Volusia,Florida,US,7,494593
NA,Florida,US,7,18801310
Bartow,Georgia,US,12,100157
Carroll,Georgia,US,9,110527
Chatham,Georgia,US,3,265128
Cherokee,Georgia,US,6,214346
Clayton,Georgia,US,9,259424
Cobb,Georgia,US,15,688078
DeKalb,Georgia,US,15,691893
Dougherty,Georgia,US,15,94565
Douglas,Georgia,US,3,132403
Fulton,Georgia,US,18,920581
Gwinnett,Georgia,US,13,805321
Hall,Georgia,US,4,179684
Henry,Georgia,US,7,203922
Lee,Georgia,US,6,28298
Mitchell,Georgia,US,1,23498
Sumter,Georgia,US,2,32819
Unassigned,Georgia,US,15,
NA,Georgia,US,6,9687653
NA,Grand Princess,US,12,
NA,Guam,US,4,164229
Honolulu,Hawaii,US,12,953207
Ada,Idaho,US,10,392365
Blaine,Idaho,US,11,21376
Canyon,Idaho,US,3,188923
Cook,Illinois,US,18,5194675
DuPage,Illinois,US,16,916924
Kane,Illinois,US,10,515269
Kankakee,Illinois,US,1,113449
Lake,Illinois,US,16,703462
McHenry,Illinois,US,6,308760
St. Clair,Illinois,US,1,270056
Unassigned,Illinois,US,2,
Will,Illinois,US,13,677560
NA,Illinois,US,6,12830632
Hamilton,Indiana,US,10,274569
Hendricks,Indiana,US,7,145448
Johnson,Indiana,US,9,139654
Lake,Indiana,US,9,496005
Madison,Indiana,US,3,131636
Marion,Indiana,US,16,903393
St. Joseph,Indiana,US,4,266931
NA,Indiana,US,1,6483802
Johnson,Iowa,US,4,130882
Linn,Iowa,US,7,211226
Polk,Iowa,US,5,430640
Johnson,Kansas,US,11,544179
Sedgwick,Kansas,US,4,498365
Wyandotte,Kansas,US,7,157505
Fayette,Kentucky,US,9,295803
Jefferson,Kentucky,US,11,741096
Unassigned,Kentucky,US,7,
Ascension,Louisiana,US,12,107215
Bossier,Louisiana,US,5,116979
Caddo,Louisiana,US,14,254969
Calcasieu,Louisiana,US,7,192768
East Baton Rouge,Louisiana,US,14,440171
Iberville,Louisiana,US,5,33387
Jefferson,Louisiana,US,18,432552
Lafayette,Louisiana,US,9,221578
